dataset_name,table_name,column_name,table_description,column_description
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,campaign_start_date,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Campaign start date
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,campaign_end_date,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Campaign end date
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,campaign_status,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Campaign status indicator
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,campaign_daily_budget,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Campaign daily budget
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,campaign_targeting,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Campaign targeting
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,account,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Account
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,bidoptimization,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Bidoptimization
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,portfolioid,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Portfolioid
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,adformat,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Adformat
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,budgettype,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Budgettype
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,servingstatus,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Servingstatus
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,creative,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Creative
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,landingpage,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Landingpage
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,bidmultiplier,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Bidmultiplier
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,profile_id,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Unique identifier for profile
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,scrape_date,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Scrape date
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,reporting_range,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Reporting range
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,source_system_id,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Unique identifier for source system
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,load_id,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Unique identifier for load
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,profile_name,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Profile name
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,rulebasedbudget,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Rulebasedbudget
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,brandentityid,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Brandentityid
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,ismultiadgroupsenabled,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Ismultiadgroupsenabled
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,goal,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Goal
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,bidding,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Bidding
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,productlocation,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Productlocation
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,tags,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Tags
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,costtype,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Costtype
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_master_hstry,smartdefault,"""Data lake table covering master reference focused on ad sb campaign highlighted by fields such as unique identifier for campaign, campaign start date, campaign end date.""",Smartdefault
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,region,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Geographic region
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,platform,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Platform
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,campaign_id,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Unique identifier for campaign
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,campaign_name,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Campaign name
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,campaign_status,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Campaign status indicator
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,campaign_daily_budget,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Campaign daily budget
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,impressions,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Total impressions metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,clicks,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Total clicks metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,spend,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Total spend
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,placement,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Placement
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_conversion,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed conversion
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_conversion_same_sku,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed conversion same sku
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_sales,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Total attributed sales metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_sales_same_sku,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed sales same sku
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_dpv_clicks,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed dpv clicks metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_orders_new_to_brand,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed orders new to brand
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_orders_new_to_brand__,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed orders new to brand
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attribute_order_rate_new_to_brand_ntb_orders_clicks,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attribute order rate new to brand ntb orders clicks metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_sales_new_to_brand,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed sales new to brand
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_sales_new_to_brand__,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed sales new to brand
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_units_new_to_brand,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed units new to brand
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,attributed_units_new_to_brand__,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Attributed units new to brand
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,account,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Account
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,campaignbudgettype,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Campaignbudgettype
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,scrape_date,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Scrape date
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,profileid,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Profileid
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,reporting_range,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Reporting range
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,source_system_id,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Unique identifier for source system
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,dpv14d,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Dpv14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,unitssold14d,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Unitssold14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,period,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Reporting period
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,profilename,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Profilename
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,load_id,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Unique identifier for load
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_campaign_report_hstry,marketplace,"""Data lake table covering historical facts focused on ad sb campaign highlighted by fields such as reporting period, unique identifier for campaign, total impressions metric.""",Sales marketplace
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,profile_id,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Unique identifier for profile
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,profile_name,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Profile name
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,campaign_name,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Campaign name
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,campaign_id,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Unique identifier for campaign
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,campaign_status,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Campaign status indicator
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,campaign_budget,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Campaign budget
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,campaign_budget_type,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Campaign budget type
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,adgroup_name,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Adgroup name
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,adgroup_id,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Unique identifier for adgroup
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,keyword_id,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Unique identifier for keyword
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,keyword_text,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Keyword text
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,keyword_bid,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Keyword bid
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,keyword_status,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Keyword status indicator
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,match_type,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Match type
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,impressions,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Impressions metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,clicks,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Clicks metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,cost,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Metric amount metric
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_detail_page_views_clicks_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed detail page views clicks 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_sales_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed sales 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_sales_14d_samesku,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed sales 14d samesku
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_conversions_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed conversions 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_conversions_14d_samesku,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed conversions 14d samesku
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_orders_new_to_brand_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed orders new to brand 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_orders_new_to_brand_percentage_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed orders new to brand percentage 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_order_rate_new_to_brand_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed order rate new to brand 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_sales_new_no_brand_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed sales new no brand 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_sales_new_to_brand_percentage_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed sales new to brand percentage 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_units_ordered_new_to_brand_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed units ordered new to brand 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,attributed_units_ordered_new_to_brand_percentage_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Attributed units ordered new to brand percentage 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,units_sold_14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Units sold 14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,dpv14d,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Dpv14d
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,period,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Reporting period
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,scrape_date,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Scrape date
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,reporting_range,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Reporting range
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,region,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Geographic region
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,marketplace,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Sales marketplace
CC_I2O_DATA_ADVERTISE_LAKE,ad_sb_keyword_report_hstry,account,"""Data lake table covering historical facts focused on ad sb keyword highlighted by fields such as reporting period, unique identifier for campaign, campaign name.""",Account
